reason='BAD_ANTENNA' correlation='RR' mode='manual' antenna='1' scan='1'
reason='BAD_ANTENNA' correlation='RR' mode='manual' antenna='1' scan='7'
reason='BAD_ANTENNA' correlation='LL' mode='manual' antenna='1' scan='1'
reason='BAD_ANTENNA' correlation='LL' mode='manual' antenna='1' scan='7'
reason='BAD_ANTENNA' correlation='RR' mode='manual' antenna='18' scan='1'
reason='BAD_ANTENNA' correlation='LL' mode='manual' antenna='18' scan='1'
reason='BAD_ANTENNA' correlation='RR' mode='manual' antenna='1' scan='1,2,3,4,5,6,7'
reason='BAD_ANTENNA' correlation='LL' mode='manual' antenna='1' scan='1,2,3,4,5,6,7'
antenna='7&23' scan='6' timerange='2016/05/14/07:14:07~2016/05/14/07:16:34' reason='BAD_BASELINE_TIME' mode='manual' correlation='LL'
antenna='6&9' scan='6' timerange='2016/05/14/07:12:47~2016/05/14/07:15:14' reason='BAD_BASELINE_TIME' mode='manual' correlation='LL'
antenna='6&9' scan='6' timerange='2016/05/14/07:14:07~2016/05/14/07:16:34' reason='BAD_BASELINE_TIME' mode='manual' correlation='LL'
antenna='2&6' scan='6' timerange='2016/05/14/07:14:07~2016/05/14/07:16:34' reason='BAD_BASELINE_TIME' mode='manual' correlation='LL'
antenna='5&11' scan='6' timerange='2016/05/14/07:14:07~2016/05/14/07:16:34' reason='BAD_BASELINE_TIME' mode='manual' correlation='LL'
antenna='5&11' scan='6' timerange='2016/05/14/07:15:28~2016/05/14/07:17:55' reason='BAD_BASELINE_TIME' mode='manual' correlation='LL'
antenna='5&11' scan='6' timerange='2016/05/14/07:16:49~2016/05/14/07:19:15' reason='BAD_BASELINE_TIME' mode='manual' correlation='LL'
antenna='16&23' scan='6' timerange='2016/05/14/07:15:28~2016/05/14/07:17:55' reason='BAD_BASELINE_TIME' mode='manual' correlation='LL'
antenna='23&24' scan='6' timerange='2016/05/14/07:12:47~2016/05/14/07:15:14' reason='BAD_BASELINE_TIME' mode='manual' correlation='LL'
antenna='6&8' scan='6' timerange='2016/05/14/07:12:47~2016/05/14/07:15:14' reason='BAD_BASELINE_TIME' mode='manual' correlation='LL'
